no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.057,ベテルギウス,ビークロン×ドラゴン,120,150,110,70,90,140,BBCDDB,314652,早熟,"我慢,元気,逆上",-55,1,15,280
No.058,ビークロン,ビークロン×ビークロン,120,150,50,70,90,140,BBEDDB,316542,早熟,"我慢,元気,底力",30,1,13,300
No.059,メルカーバ,ビークロン×ヘンガー,100,150,80,110,120,130,CBDCCC,516432,普通,"我慢,元気,底力",60,2,14,300
No.060,ロックロン,ビークロン×ゴーレム,120,150,80,70,90,140,BBDDDB,315642,晩成,"我慢,元気,底力",35,1,15,320
No.061,センチュリオン,ビークロン×デュラハン,120,150,80,70,90,140,BBDDDB,315642,持続,"我慢,元気,逆上",-35,1,13,340
No.062,テナガハウンド,ビークロン×ライガー,100,110,70,130,90,120,CCDCCC,436152,早熟,"我慢,元気,底力",60,2,11,300
No.063,コートロアコート,ビークロン×バジャール,120,150,50,100,90,110,BBECDC,216453,普通,"我慢,元気",15,1,13,320
No.064,ジャガーノート,ビークロン×ジョーカー,120,150,130,100,90,110,BBCCDC,213564,持続,"我慢,元気,逆上,本気",-75,2,13,280
No.065,ダックロン,ビークロン×ダックン,90,150,70,100,120,110,BBDCCC,216534,持続,"我慢,元気,底力",45,1,11,300
No.066,ナースボーン,ビークロン×？？？,,,,,,,,,,,,,,
