no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.041,フェリオス,ケンタウロス×ピクシー,70,100,140,160,110,80,DCBACD,642135,早熟,"根性,集中",-10,4,11,300
No.042,サバット,ケンタウロス×ドラゴン,90,130,140,120,150,80,CBBBDD,421356,早熟,"根性,集中,逆上",-30,3,15,280
No.043,ケンタウロス,ケンタウロス×ケンタロウス,90,100,140,160,150,80,CCBADD,432156,普通,"根性,集中,底力",75,3,16,300
No.044,イースター,ケンタウロス×ゴーレム,90,130,140,100,150,110,CBBCDC,521463,晩成,"根性,集中,底力",50,2,15,320
No.045,チャリオット,ケンタウロス×デュラハン,90,100,140,130,150,120,CCBBDC,541263,持続,"根性,集中",-15,3,13,340
No.046,アンタレス,ケンタウロス×アローヘッド,90,100,110,140,150,120,CCCBDC,543162,普通,"根性,集中,底力",30,3,15,340
No.047,シリウス,ケンタウロス×ライガー,90,100,140,160,170,80,CCBACD,542136,早熟,"根性,集中,底力",85,3,11,300
No.048,バゾク,ケンタウロス×バジャール,90,100,110,160,150,80,CCCADD,432156,普通,"根性,集中,底力",30,3,13,320
No.049,デルピエロ,ケンタウロス×ジョーカー,90,100,140,160,150,80,CCBADD,432156,持続,"根性,集中,逆上,本気",-55,3,13,280
No.050,パドック,ケンタウロス×？？？,,,,,,,,,,,,,,
No.051,サンダーＶ,ケンタウロス×？？？,,,,,,,,,,,,,,
