no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.026,アテナ,ドラゴン×ピクシー,80,130,170,120,100,110,DBACCD,621345,早熟,"逆上,憤怒",-55,3,14,270
No.027,ドラゴン,ドラゴン×ドラゴン,100,170,160,120,90,110,CAACDC,512364,早熟,"逆上,憤怒",-70,2,19,250
No.028,コーカサス,ドラゴン×ビークロン,100,170,130,120,90,110,CACCDC,512364,早熟,憤怒,-5,2,17,270
No.029,テクノドラゴン,ドラゴン×ヘンガー,100,170,140,120,130,110,CABCCC,612435,普通,"底力,憤怒",35,2,18,270
No.030,ジハード,ドラゴン×ゴーレム,100,170,140,80,90,130,CABDDB,412653,晩成,憤怒,0,2,19,290
No.031,アーマードラゴン,ドラゴン×デュラハン,100,170,140,120,90,130,CABCDB,512463,持続,"逆上,憤怒",-60,2,17,310
No.032,クラスター,ドラゴン×アローヘッド,100,150,140,120,90,130,CBBCDB,512463,普通,"逆上,憤怒",-30,2,18,310
No.033,クレバス,ドラゴン×ライガー,100,140,160,130,90,80,CBABCD,421356,早熟,"底力,憤怒",40,3,15,270
No.034,ガリエル,ドラゴン×ガリ,100,130,160,120,90,110,CBACDC,521364,普通,"底力,憤怒",55,2,18,250
No.035,オセロット,ドラゴン×アーケロ,100,140,160,120,130,110,CCACCC,621435,晩成,"逆上,憤怒",-60,2,18,330
No.036,ドドンゴー,ドラゴン×バジャール,100,170,130,120,90,110,CABCDC,512364,普通,"逆上,憤怒",-30,2,17,290
No.037,ギドラス,ドラゴン×メタルナー,70,100,110,140,90,150,CBCBDB,534261,普通,"逆上,憤怒",-40,3,14,290
No.038,ディアボロス,ドラゴン×ジョーカー,100,130,160,140,90,110,CBABDC,531264,持続,"逆上,憤怒,本気",-80,2,17,250
No.039,ラグナロックス,ドラゴン×モノリス,100,150,140,120,90,130,CBBCDB,512463,普通,"逆上,憤怒",-50,2,19,250
No.040,ムー,ドラゴン×？？？,,,,,,,,,,,,,,
