no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.167,キンダーホップ,ホッパー×ピクシー,70,90,160,170,130,60,DCBACE,542136,早熟,"集中,逆上",-40,5,8,300
No.168,トビカサゴ,ホッパー×ドラゴン,70,100,140,160,120,90,DBBBCD,632145,早熟,"集中,逆上",-55,4,12,280
No.169,クリック,ホッパー×ライガー,60,90,110,180,130,60,DCCACE,543126,早熟,"集中,底力",65,5,8,300
No.170,ホッパー,ホッパー×ホッパー,60,100,110,160,150,70,DCCACE,543126,早熟,"集中,逆上",-25,5,8,300
No.171,ワガハイ,ホッパー×アーケロ,70,80,130,150,140,50,DDBBBE,543126,晩成,"集中,逆上",-45,4,12,360
No.172,エメラルドアイ,ホッパー×バジャール,60,100,110,170,120,50,DCCACE,543126,普通,集中,-10,4,10,320
No.173,スプリンガー,ホッパー×メタルナー,70,80,90,160,100,110,DCDADC,635142,普通,"集中,逆上",-25,5,7,320
No.174,ウシロメデス,ホッパー×スエゾー,60,90,140,160,110,40,DCBACE,542136,早熟,"集中,逆上",-50,4,10,320
No.175,パチクリ,ホッパー×ジール,70,100,110,150,130,60,DCCBCD,543126,晩成,集中,5,4,11,320
No.176,サクラホップ,ホッパー×モッチー,60,100,110,160,120,70,DCCACD,643125,普通,"集中,底力",40,4,9,320
No.177,ワイロ,ホッパー×ジョーカー,70,90,110,160,110,60,DCBACE,542136,持続,"集中,逆上,本気",-70,4,10,280
No.178,ハネボックリ,ホッパー×モック,90,80,150,140,110,70,DCBBCE,541236,早熟,"集中,逆上",-20,4,10,360
No.179,ケロッパー,ホッパー×？？？,,,,,,,,,,,,,,
