no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.296,ピンクジャム,ゲル×ピクシー,80,90,150,160,100,110,DDBBCC,652143,早熟,逆上,-30,4,11,330
No.297,イシガキゲル,ゲル×ゴーレム,100,110,130,120,90,140,CCBCDB,542361,晩成,底力,35,2,16,350
No.298,ウロコゲル,ゲル×ロードランナー,100,90,120,140,110,150,CDCBDB,463251,普通,,10,3,14,350
No.299,ミントジェラード,ゲル×ライガー,90,100,150,140,110,120,CDBBCC,561243,早熟,底力,75,3,12,330
No.300,ネンドマン,ゲル×ハム,100,110,130,150,120,140,CCCBCC,653142,普通,底力,45,3,14,330
No.301,ゲルキゾク,ゲル×ガリ,90,80,140,110,100,150,CDBBDB,462351,普通,底力,90,3,15,310
No.302,メダマゼリー,ゲル×スエゾー,100,90,150,130,80,120,CDBBDC,451263,早熟,逆上,-45,3,13,350
No.303,ゲル,ゲル×ゲル,100,90,130,120,110,140,CDBBDB,462351,普通,,-5,3,14,350
No.304,エコスライム,ゲル×プラント,120,80,150,140,90,110,BDBBDC,361254,早熟,底力,60,3,12,390
No.305,マグマグミ,ゲル×モノリス,100,90,130,120,80,150,CDBCDB,452361,普通,逆上,-25,2,16,310
No.306,カンテンムシ,ゲル×ワーム,110,90,140,130,100,120,BDBBDC,361254,晩成,底力,20,3,14,330
No.307,パー・プリン,ゲル×ナーガ,90,100,130,120,110,140,CCCBDB,543261,早熟,逆上,-54,3,13,310
No.308,メタルゲル,ゲル×？？？,,,,,,,,,,,,,,
