no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.273,マンナ,モッチー×ピクシー,100,110,120,140,150,130,DCCBBC,654213,早熟,"根性,逆上",-20,4,9,330
No.274,ミタラシ,モッチー×ドラゴン,100,110,140,150,120,160,CBBBCB,643251,早熟,"根性,逆上",-45,3,14,310
No.275,ヨロイモッチー,モッチー×デュラハン,100,110,140,150,130,110,CCBBCC,642134,持続,"根性,逆上",-25,3,12,370
No.276,ペンギンダマシ,モッチー×ライガー,100,110,120,150,130,140,CCCBCB,654132,早熟,"根性,底力",65,3,10,330
No.277,ニャンコロモチ,モッチー×アーケロ,110,100,120,140,150,130,CCCBBC,564213,晩成,"根性,逆上",-65,3,13,390
No.278,モッチー,モッチー×モッチー,100,80,150,140,130,120,CDBBBC,561234,普通,"根性,底力",50,3,11,350
No.279,ヘルファット,モッチー×ジョーカー,110,100,120,140,150,130,CCCBBB,564213,持続,"根性,逆上,本気",-65,3,12,310
No.280,ゼラチン,モッチー×ゲル,110,100,130,140,120,150,CCCBCB,563241,普通,"根性,底力",20,3,12,350
No.281,ジェントル,モッチー×？？？,,,,,,,,,,,,,,
No.282,カロリーナ,モッチー×？？？,,,,,,,,,,,,,,
No.283,サクラモッチーニ,モッチー×？？？,,,,,,,,,,,,,,
