no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.379,ディアナリパー,ナーガ×ピクシー,100,130,110,140,120,90,DCCBCD,524136,早熟,逆上,-60,4,9,270
No.380,トライデント,ナーガ×ゴーレム,130,150,100,120,90,140,CBDCDB,315462,晩成,,-5,2,14,290
No.381,スティンガー,ナーガ×ロードランナー,110,150,60,140,100,120,CBEBDC,416253,普通,逆上,-30,3,12,290
No.382,ストライクリパー,ナーガ×ライガー,120,130,80,160,110,100,CCDBCD,326145,早熟,底力,35,3,10,270
No.383,エッジホッグ,ナーガ×ハム,130,160,90,150,120,100,CBEBCD,316245,普通,,5,3,13,270
No.384,バズラ,ナーガ×ガリ,120,150,100,140,70,130,CBCBDC,415263,普通,底力,50,3,13,250
No.385,サイクロップス,ナーガ×スエゾー,120,140,110,130,80,100,CBCBDC,314265,早熟,底力,50,3,13,250
No.386,アクアシザース,ナーガ×ゲル,110,120,90,150,100,130,CCDBDC,436152,普通,逆上,-30,3,12,290
No.387,ジャングラー,ナーガ×プラント,160,120,100,150,90,70,BCDBDD,134256,早熟,底力,20,3,10,330
No.388,レッドアイ,ナーガ×モノリス,120,140,90,110,100,150,CBDCDB,326451,普通,逆上,-50,2,14,250
No.389,テロルシザース,ナーガ×ワーム,120,130,70,150,90,110,BBDBDC,326154,晩成,逆上,-20,3,13,270
No.390,ナーガ,ナーガ×ナーガ,120,160,100,150,110,130,CBEBDC,416253,早熟,逆上,-80,3,11,250
No.391,トキビト,ナーガ×？？？,,,,,,,,,,,,,,
