no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.312,アンモン,ナイトン×ゴーレム,100,120,50,60,140,80,CCDDDA,326541,晩成,"我慢,底力",40,2,13,350
No.313,ナイトナイトン,ナイトン×デュラハン,90,130,80,70,140,100,CCDDDA,325641,持続,"我慢,逆上",-30,2,12,370
No.314,トラガイ,ナイトン×アーケロ,90,60,110,80,120,130,CDCDCB,463521,晩成,"我慢,逆上",-35,2,13,390
No.315,アラビアナイトン,ナイトン×バジャール,80,120,60,130,90,110,CCDCDB,436251,普通,"我慢,底力",20,2,11,350
No.316,メタルシェル,ナイトン×メタルナー,80,50,90,120,70,150,CDDCDA,364251,普通,我慢,-10,3,8,350
No.317,スカシガイ,ナイトン×ゲル,70,60,120,110,90,140,CDCCDA,462351,普通,"我慢,底力",20,2,12,350
No.318,ナイトン,ナイトン×ナイトン,90,40,30,70,50,160,CDDDDA,256341,晩成,"我慢,底力",45,2,10,350
No.319,バウムクーヘン,ナイトン×モック,80,60,120,70,40,130,CDCDDB,352461,早熟,我慢,10,2,11,390
No.320,ドリブラー,ナイトン×？？？,,,,,,,,,,,,,,
No.321,ラジアル,ナイトン×？？？,,,,,,,,,,,,,,
No.322,ディスクナイトン,ナイトン×？？？,,,,,,,,,,,,,,
