no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.001,ピクシー,ピクシー×ピクシー,50,80,170,150,140,60,EDABBE,641235,早熟,"余裕,逆上",-45,5,7,300
No.002,ダイナ,ピクシー×ドラゴン,90,110,190,140,120,80,DCABCD,541236,早熟,"余裕,逆上",-60,4,12,280
No.003,ユニコ,ピクシー×ケンタウロス,70,80,170,150,100,60,DDABCE,541236,普通,"余裕,底力",55,4,9,300
No.004,ジル,ピクシー×チャッキー,50,80,170,100,140,60,DDACBD,641325,晩成,"余裕,逆上",-70,5,8,380
No.005,ビーナス,ピクシー×ゴーレム,80,100,150,120,100,130,DCBCCC,641342,晩成,余裕,15,3,11,320
No.006,ディクシー,ピクシー×ロードランナー,70,80,130,150,140,90,DDBBBD,653124,普通,余裕,-10,4,9,320
No.007,ジャンヌ,ピクシー×デュラハン,80,110,140,150,100,130,DCBBCC,642153,持続,"余裕,逆上",-50,4,10,340
No.008,ミント,ピクシー×ライガー,50,80,170,150,140,60,EDABBE,641235,早熟,"余裕,底力",55,5,8,300
No.009,セピアリエーヴル,ピクシー×ハム,70,100,110,150,140,60,DCCBBE,543126,普通,"余裕,底力",25,4,10,300
No.010,エンジェル,ピクシー×ガリ,50,80,170,150,110,60,EDABCE,641235,普通,"余裕,底力",70,4,11,280
No.011,ファー,ピクシー×アーケロ,50,80,170,150,140,60,EDABBE,641235,晩成,"余裕,逆上",-50,4,11,360
No.012,ジーニャー,ピクシー×バジャール,70,110,130,150,140,60,DCBBBE,543126,普通,"余裕,逆上",-20,4,9,320
No.013,フューチャー,ピクシー×メタルナー,50,80,100,150,110,130,DDCBCC,654132,普通,"余裕,逆上",-30,5,7,340
No.014,スエコ,ピクシー×スエゾー,50,80,170,150,110,60,EDABCE,641235,早熟,"余裕,逆上",-60,4,9,320
No.015,ユキ,ピクシー×ジール,70,110,170,100,120,80,DCACCD,631425,晩成,余裕,-10,4,11,320
No.016,リリム,ピクシー×ジョーカー,70,80,170,150,110,60,DDABCE,541236,持続,"余裕,逆上,本気",-75,4,9,280
No.017,ナギサ,ピクシー×ゲル,50,80,170,150,110,60,DDABCD,641235,普通,"余裕,逆上",-20,4,10,320
No.018,フォレスト,ピクシー×モック,150,80,170,100,110,60,EDACCE,541326,早熟,"余裕,逆上",-25,4,9,360
No.019,リーフ,ピクシー×プラント,100,80,140,150,110,60,CDBBCE,452136,早熟,"余裕,底力",40,4,7,360
No.020,プリズムシャドウ,ピクシー×モノリス,50,80,140,120,110,130,EDBCCC,651342,普通,"余裕,逆上",-40,3,11,280
No.021,ナハトファルター,ピクシー×ワーム,100,80,140,150,110,60,CDBBCE,452136,晩成,余裕,-5,4,10,300
No.022,ラベンダーキール,ピクシー×ナーガ,80,120,110,150,130,90,DCCBCD,634125,早熟,"余裕,逆上",-70,4,9,280
No.023,ポワゾン,ピクシー×？？？,,,,,,,,,,,,,,
No.024,カスミ,ピクシー×？？？,,,,,,,,,,,,,,
No.025,ミーア,ピクシー×？？？,,,,,,,,,,,,,,
