no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.332,ベニヒメソウ,プラント×ピクシー,120,40,140,110,100,60,CEBCCE,261345,早熟,,-15,3,8,390
No.333,ガンセキソウ,プラント×ゴーレム,160,120,110,80,70,130,BCCDDC,134562,晩成,底力,45,2,12,410
No.334,ウロコクサ,プラント×ロードランナー,150,80,120,110,100,90,BDCCDD,162345,普通,底力,30,2,10,410
No.335,ブルーフラワー,プラント×ライガー,140,70,120,110,90,50,BDCCDD,152346,早熟,底力,70,3,8,390
No.336,ウサギソウ,プラント×ハム,160,130,100,120,110,60,BCDCCE,125346,普通,底力,50,2,11,390
No.337,キンプンソウ,プラント×ガリ,150,60,140,110,100,70,BDBCDD,162345,普通,底力,80,2,12,370
No.338,ヒネクレソウ,プラント×スエゾー,140,80,150,110,90,50,BDBCDE,251346,早熟,"余裕,逆上",-35,2,10,410
No.339,オボロゲソウ,プラント×ゲル,140,50,120,110,100,80,BECCDD,162345,普通,底力,25,2,10,410
No.340,プラント,プラント×プラント,160,40,120,110,100,70,AECCDE,162345,早熟,底力,60,2,8,450
No.341,モノクロッカス,プラント×モノリス,150,90,130,120,100,110,BDCCDC,162354,普通,,-5,2,12,370
No.342,ウスバカゲソウ,プラント×ワーム,170,80,110,100,90,50,ADCCDE,152346,晩成,底力,35,2,11,390
No.343,ジャアクソウ,プラント×ナーガ,130,70,120,110,100,90,BDDCDD,163245,早熟,逆上,-50,2,9,370
No.344,ドレッドハーブ,プラント×？？？,,,,,,,,,,,,,,
