no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.366,ベニシャクトリ,ワーム×ピクシー,130,110,140,120,80,90,CCBCDD,241365,早熟,逆上,-35,3,12,300
No.367,イワムシ,ワーム×ゴーレム,140,150,120,100,40,110,BBCDEC,213564,晩成,底力,30,2,16,320
No.368,トカゲムシ,ワーム×ロードランナー,140,100,120,110,90,80,BCCCDD,142356,普通,,15,2,14,320
No.369,ブルードリル,ワーム×ライガー,150,100,110,130,90,80,BCCBDD,143256,早熟,底力,60,3,13,300
No.370,コロネ,ワーム×ハム,130,140,80,120,110,90,BBDCCD,216345,普通,底力,40,2,15,300
No.371,カメンワーム,ワーム×ガリ,150,100,130,110,60,80,BCBCED,142365,普通,底力,70,2,16,280
No.372,ザザムワーム,ワーム×スエゾー,150,120,130,110,60,90,BCBCED,132465,早熟,逆上,-55,2,14,320
No.373,グラスワーム,ワーム×ゲル,140,110,120,130,40,100,BCCCEC,143265,普通,,5,2,15,300
No.374,ハナシャクトリ,ワーム×プラント,170,100,120,130,60,90,ADCCED,143265,早熟,底力,50,2,12,360
No.375,クロザザム,ワーム×モノリス,150,120,110,130,70,90,BCCCEC,134265,普通,逆上,-25,2,16,280
No.376,ワーム,ワーム×ワーム,180,100,110,120,60,90,ACCCED,143265,晩成,底力,20,2,15,300
No.377,ムラサキチュウ,ワーム×ナーガ,160,120,100,110,50,90,BCDCED,124365,早熟,逆上,-70,2,13,280
No.378,エクスプレス,ワーム×？？？,,,,,,,,,,,,,,
