no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.112,ピクスロード,ロードランナー×ピクシー,70,110,120,140,100,90,DCCBCD,632145,早熟,逆上,-40,4,11,330
No.113,サラマンドラ,ロードランナー×ドラゴン,90,120,110,140,100,80,DCCBCD,523146,早熟,逆上,-65,3,15,330
No.114,アンキロード,ロードランナー×ゴーレム,110,140,80,120,100,130,CBDCDB,416352,晩成,底力,30,2,15,350
No.115,ロードランナー,ロードランナー×ロードランナー,130,120,80,140,100,110,CCDBCC,236154,普通,,10,3,13,350
No.116,クラブランナー,ロードランナー×アローヘッド,130,120,80,150,110,140,CCDBCB,346152,普通,,-5,3,15,370
No.117,ハウルロード,ロードランナー×ライガー,130,120,100,150,110,90,CCCBCD,235146,早熟,底力,55,3,11,330
No.118,ブチランナー,ロードランナー×ハム,120,140,80,150,130,100,CBDBBD,426135,普通,底力,35,3,14,330
No.119,ハチロー,ロードランナー×バクー,130,120,80,110,90,100,BCDCDC,126354,晩成,底力,50,2,14,370
No.120,ロードガリニクス,ロードランナー×ガリ,140,130,100,150,100,120,CCCBCC,235154,普通,底力,　65,3,15,310
No.121,タスマニア,ロードランナー×アーケロ,120,90,130,140,110,110,CDCBBC,463125,晩成,逆上,-50,3,15,390
No.122,デザートランナー,ロードランナー×バジャール,130,120,80,150,100,110,CCDBCC,236154,普通,,10,3,13,350
No.123,ロードマスタード,ロードランナー×スエゾー,140,110,100,150,120,130,CCCBCC,256143,早熟,逆上,-60,3,13,350
No.124,バジリスク,ロードランナー×ジョーカー,120,100,90,140,130,110,CCCBCC,356124,持続,"逆上,本気",-85,3,13,310
No.125,スカシラプトル,ロードランナー×ゲル,120,130,100,140,110,140,CCCBCC,436152,普通,,0,3,13,350
No.126,リュウボクリュウ,ロードランナー×モック,90,120,100,120,140,110,DCCCCC,625214,早熟,,-10,3,13,390
No.127,アロハノランナー,ロードランナー×プラント,130,90,80,140,120,100,BDDBCD,256134,早熟,底力,45,3,11,390
No.128,ブラックロード,ロードランナー×モノリス,110,100,80,120,90,150,CCDCDB,346251,普通,逆上,-30,2,15,310
No.129,カッチュウロード,ロードランナー×ワーム,150,110,80,130,70,120,BCDBDC,145263,晩成,底力,20,3,14,330
No.130,ティラノパープル,ロードランナー×ナーガ,130,100,60,150,120,110,CCDBCC,256134,早熟,逆上,-75,3,12,310
No.131,ゼブランナー,ロードランナー×？？？,,,,,,,,,,,,,,
