no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.087,ヘビーダイアナ,ゴーレム×ピクシー,90,150,140,80,70,120,DBBDDC,412563,早熟,"我慢,逆上",-30,3,14,330
No.088,タイラント,ゴーレム×ドラゴン,100,220,130,90,60,150,CABDEB,413562,早熟,"我慢,逆上",-55,1,18,310
No.089,ストロングホーン,ゴーレム×ビークロン,110,180,100,70,60,160,CADEEA,314562,早熟,"我慢,底力",30,1,16,330
No.090,ゴビ,ゴーレム×ヘンガー,100,170,120,80,60,140,CACDDB,413562,普通,"我慢,底力",60,2,17,330
No.091,マリオマックス,ゴーレム×チャッキー,90,130,100,60,70,120,CCCEDC,413652,晩成,"我慢,逆上",-70,2,14,410
No.092,ゴーレム,ゴーレム×ゴーレム,100,220,110,70,60,160,CACEEA,413562,晩成,"我慢,底力",35,1,18,350
No.093,グランドバンカー,ゴーレム×ロードランナー,100,140,110,70,90,130,CBCDDB,413652,普通,"我慢,底力",20,2,16,350
No.094,バトルロックス,ゴーレム×デュラハン,110,200,100,80,60,180,CACDEA,314562,持続,"我慢,逆上",-35,1,16,370
No.095,ダゴン,ゴーレム×アローヘッド,120,150,110,80,40,200,CBCDEA,324561,普通,我慢,10,1,18,370
No.096,ブルーマウンテン,ゴーレム×ライガー,120,140,110,130,70,100,CBCCDC,314265,早熟,"我慢,底力",60,2,14,330
No.097,モアイゴン,ゴーレム×ハム,100,160,110,70,130,120,CADDCC,415623,普通,"我慢,底力",40,2,17,330
No.098,スリーピー,ゴーレム×バクー,140,210,70,50,40,150,BADEEB,314562,晩成,"我慢,底力",60,1,17,370
No.099,アメンホテブ,ゴーレム×ガリ,100,150,110,60,50,130,CACEEB,413562,普通,"我慢,底力",70,2,18,310
No.100,プレッシャー,ゴーレム×グジラ,110,150,140,80,60,160,CBBDEB,423561,晩成,"我慢,底力",35,2,18,350
No.101,ダオ,ゴーレム×バジャール,110,160,120,90,70,130,CACDDB,413562,普通,我慢,15,1,16,350
No.102,アストロ,ゴーレム×メタルナー,90,110,100,120,30,200,CBDCEA,425361,普通,我慢,-10,3,13,350
No.103,タイタン,ゴーレム×スエゾー,110,130,140,70,60,150,CBBDEB,432561,早熟,"我慢,逆上",-50,1,16,350
No.104,アンゴルモア,ゴーレム×ジョーカー,100,130,140,110,60,150,CBBCEB,532461,持続,"我慢,逆上,本気",-75,2,16,310
No.105,ポセイドン,ゴーレム×ゲル,120,160,100,70,50,220,CBCDEA,324561,普通,"我慢,底力",15,2,16,350
No.106,ウッディー,ゴーレム×モック,110,140,150,50,60,160,DBBEBE,421635,早熟,我慢,5,1,16,390
No.107,エコロガーデアン,ゴーレム×プラント,140,100,110,90,60,130,BCCDEC,143562,早熟,"我慢,底力",50,1,14,390
No.108,ケンプファー,ゴーレム×モノリス,130,140,110,40,60,170,CBCEEA,324651,普通,"我慢,逆上",-20,1,18,310
No.109,マグナビートル,ゴーレム×ワーム,150,160,110,90,20,130,BBCDEB,214563,晩成,"我慢,底力",25,1,17,330
No.110,マーブルガイ,ゴーレム×ナーガ,120,190,60,70,50,150,CADDEB,315462,早熟,"我慢,逆上",-65,2,15,310
No.111,ニューボトル,ゴーレム×？？？,,,,,,,,,,,,,,
