no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.248,ピンキー,スエゾー×ピクシー,80,120,170,130,100,90,DCABCD,631245,早熟,"余裕,逆上",-50,3,10,320
No.249,イワゾー,スエゾー×ゴーレム,80,120,170,130,90,100,DCABDD,631254,晩成,余裕,5,2,14,350
No.250,メロンボ,スエゾー×ロードランナー,80,120,150,130,90,100,DCBBDD,631254,普通,"余裕,逆上",-25,2,12,350
No.251,ツノマル,スエゾー×ライガー,80,120,160,130,110,100,DCABCD,631245,早熟,"余裕,底力",45,3,11,330
No.252,ガンバ,スエゾー×ハム,80,150,130,140,110,100,DBCBCD,613245,普通,余裕,15,2,13,330
No.253,オリオン,スエゾー×ガリ,80,120,150,130,90,100,DCABDD,631254,普通,"余裕,底力",60,2,14,310
No.254,スエゾー,スエゾー×スエゾー,80,120,170,130,90,100,DCABDD,631254,早熟,"余裕,逆上",-65,2,12,350
No.255,スケゾー,スエゾー×ゲル,100,110,150,130,90,120,DCABDC,541263,普通,"余裕,逆上",-25,2,13,350
No.256,プラムラー,スエゾー×プラント,120,100,140,130,80,90,CDBBDD,341265,早熟,"余裕,底力",30,2,10,390
No.257,アカメ,スエゾー×モノリス,80,120,140,100,90,110,DCBCDC,621453,普通,"余裕,逆上",-45,2,14,310
No.258,ムシメ,スエゾー×ワーム,110,120,140,130,90,100,CCBBDD,431265,晩成,余裕,-15,2,13,330
No.259,ノリゾー,スエゾー×ナーガ,100,130,110,150,80,90,DCCBDD,423165,早熟,"余裕,逆上",-75,2,12,310
No.260,キンゾー,スエゾー×？？？,,,,,,,,,,,,,,
No.261,ギンゾー,スエゾー×？？？,,,,,,,,,,,,,,
No.262,ブロンズゾー,スエゾー×？？？,,,,,,,,,,,,,,
No.263,ベタピン,スエゾー×？？？,,,,,,,,,,,,,,
No.264,すえきすえぞー,スエゾー×？？？,,,,,,,,,,,,,,
