no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.076,ベビードール,チャッキー×ピクシー,60,30,140,90,150,50,DEBDBE,462315,早熟,"必死,逆上",-60,4,8,420
No.077,ドラコ,チャッキー×ドラゴン,90,100,150,80,110,70,CCBDCD,431526,早熟,"必死,逆上",-75,3,12,400
No.078,ポルックス,チャッキー×ヘンガー,40,70,140,90,150,50,CDBDBE,452316,普通,"必死,底力",30,4,12,420
No.079,チャッキー,チャッキー×チャッキー,20,10,150,40,160,30,CEBEBE,362415,晩成,"必死,逆上",-85,4,9,500
No.080,ペブリー,チャッキー×ゴーレム,80,120,150,60,100,110,CCBECC,521643,晩成,必死,-10,3,13,440
No.081,プチナイト,チャッキー×デュラハン,50,40,140,60,120,100,CDBDCC,461523,持続,"必死,逆上",-60,3,11,460
No.082,バッキー,チャッキー×バジャール,80,70,120,90,150,50,CDCDBE,352416,普通,"必死,逆上",-40,3,11,440
No.083,メタルグレイ,チャッキー×メタルナー,60,50,120,100,130,110,CECCCC,562413,普通,"必死,逆上",-45,4,8,440
No.084,トリッカー,チャッキー×ジョーカー,80,70,130,100,120,50,CDBCCE,451326,持続,"必死,逆上,本気",-90,4,11,400
No.085,モッキー,チャッキー×モック,60,50,150,40,120,30,CEBECE,341526,早熟,"必死,逆上",-40,3,10,480
No.086,デンネン,チャッキー×？？？,,,,,,,,,,,,,,
