no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.132,レジーナ,デュラハン×ピクシー,90,110,150,130,100,120,DCBCDC,641253,早熟,"集中,逆上",-50,3,11,360
No.133,ベスビオス,デュラハン×ドラゴン,100,130,150,110,70,140,CBBCEB,531462,早熟,"集中,逆上",-65,2,16,340
No.134,ヘラクレス,デュラハン×ビークロン,100,150,80,110,30,180,CBDCEA,425361,早熟,集中,5,2,14,360
No.135,ケルマディスク,デュラハン×ゴーレム,120,150,100,90,60,170,CBCDEA,324561,晩成,集中,10,2,16,380
No.136,デュラハン,デュラハン×デュラハン,100,150,80,110,70,180,CBCCEA,425361,持続,"集中,逆上",-50,2,14,400
No.137,ロブリッター,デュラハン×アローヘッド,120,140,90,110,50,160,CBCCEA,325461,普通,"集中,逆上",-25,2,15,400
No.138,グレイシア,デュラハン×ライガー,130,110,120,140,90,100,CCCBDC,243165,早熟,"集中,底力",50,3,12,360
No.139,ガルーダ,デュラハン×ヒノトリ,100,120,130,110,90,150,CCBCDB,532461,晩成,"集中,底力",65,2,14,380
No.140,メタルグローリー,デュラハン×メタルナー,90,120,80,140,70,160,CCDBEA,435261,普通,"集中,逆上",-35,3,11,380
No.141,ジェノサイド,デュラハン×ジョーカー,100,120,150,140,80,130,CBBBEB,541263,持続,"集中,逆上",-80,2,14,340
No.142,ノーマッド,デュラハン×モック,90,120,130,110,70,150,DCBCEB,532461,早熟,"集中,逆上",-30,2,13,420
No.143,ショーグン,デュラハン×？？？,,,,,,,,,,,,,,
No.144,ブラッディＪ,デュラハン×？？？,,,,,,,,,,,,,,
No.145,コクシムソウ,デュラハン×？？？,,,,,,,,,,,,,,
