no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.193,マグマックス,バクー×ドラゴン,150,130,100,80,60,120,BBCDEC,124563,早熟,逆上,-35,1,17,340
No.194,ヒガンテ,バクー×ゴーレム,160,130,70,90,60,150,BBDDEB,135462,晩成,底力,50,1,17,380
No.195,ムシャバクー,バクー×デュラハン,150,140,70,80,50,160,BBDDEB,235461,持続,,-15,1,15,400
No.196,アイスバーグ,バクー×ライガー,150,120,50,100,70,90,BCDCDD,126354,早熟,底力,75,2,13,360
No.197,ゴンタ,バクー×ハム,150,130,50,90,100,80,BBEDCD,126435,普通,底力,55,2,16,360
No.198,バクー,バクー×バクー,180,130,50,70,60,150,ABEDEC,126453,晩成,底力,70,1,16,400
No.199,ヌッシー,バクー×アーケロ,160,110,120,70,100,130,BCCDCC,143652,晩成,逆上,-20,1,16,420
No.200,ドン・クラウン,バクー×ジョーカー,160,140,100,110,70,120,BBCCEC,125463,持続,"逆上,本気",-55,2,15,340
No.201,ギガパイント,バクー×ゲル,150,120,90,100,70,130,BCDCEC,135462,普通,底力,30,2,15,380
No.202,ダンゴウザカ,バクー×？？？,,,,,,,,,,,,,,
