no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.180,ヴァージアハビ,ハム×ピクシー,80,130,100,120,180,50,DBCCAE,524316,早熟,"根性,逆上",-25,4,11,300
No.181,ロックブラッド,ハム×ゴーレム,100,170,80,90,110,120,CADDCC,416532,晩成,"根性,底力",40,2,16,320
No.182,ウロコウサギ,ハム×ロードランナー,100,130,70,110,140,80,CBECBD,426315,普通,"根性,底力",20,3,14,320
No.183,パルスコーン,ハム×ライガー,100,130,70,160,170,40,CBDBAC,436215,早熟,"根性,底力",65,3,13,300
No.184,ハム,ハム×ハム,50,130,70,100,140,40,CAECAE,425316,普通,"根性,底力",45,3,15,300
No.185,ハムオウジ,ハム×ガリ,100,130,90,110,140,50,CBCCBD,425316,普通,"根性,底力",75,3,16,280
No.186,クロスフォーアイ,ハム×スエゾー,90,140,100,110,130,70,CBCCBE,514326,早熟,"根性,逆上",-45,3,14,320
No.187,ブルーフレア,ハム×ゲル,100,140,60,110,130,90,CBDCBD,416325,普通,"根性,底力",20,3,15,320
No.188,ハムリーフ,ハム×プラント,120,110,90,100,140,70,BCDCBE,235416,早熟,"根性,底力",55,3,12,360
No.189,ダークハム,ハム×モノリス,100,140,90,120,130,110,CBDCCC,516324,普通,根性,-15,2,16,280
No.190,トルクレンチ,ハム×ワーム,120,140,90,100,110,70,BBDCCE,215436,晩成,"根性,底力",30,3,15,300
No.191,ラベンダーロック,ハム×ナーガ,110,160,70,120,140,100,CAECBD,416325,早熟,"根性,逆上",-60,3,13,280
No.192,トルネード,ハム×？？？,,,,,,,,,,,,,,
