no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.345,ロンパーウォール,モノリス×ピクシー,90,120,150,100,50,120,DCBCDC,521462,早熟,"我慢,逆上",-40,3,14,270
No.346,ランドオベリスク,モノリス×ゴーレム,90,130,120,100,10,200,DBCDEA,523461,晩成,"我慢,底力",20,1,18,290
No.347,ジュラスウォール,モノリス×ロードランナー,90,110,120,100,30,150,DCCCDB,532461,普通,我慢,-10,2,16,290
No.348,ブルースポンジ,モノリス×ライガー,100,110,120,100,40,130,DCCCDC,532461,早熟,"我慢,底力",60,2,14,270
No.349,ワイルドブロック,モノリス×ハム,80,140,100,90,110,120,DBDDCC,614532,普通,"我慢,底力",30,2,17,270
No.350,バロックス,モノリス×ガリ,90,110,130,100,30,150,DCBDEB,532461,普通,"我慢,底力",75,2,18,250
No.351,スタイルフォーム,モノリス×スエゾー,100,110,150,120,60,140,DCBCEB,541362,早熟,"我慢,底力,余裕",-55,1,16,290
No.352,アイスキャンディ,モノリス×ゲル,80,110,120,100,40,220,DCCCEA,532461,普通,我慢,-15,2,16,290
No.353,ワカクサケンザイ,モノリス×プラント,110,100,130,90,40,120,CDCDEC,341562,早熟,"我慢,底力",45,1,14,330
No.354,モノリス,モノリス×モノリス,110,130,140,100,10,220,DCCDEA,432561,普通,"我慢,逆上",-35,1,18,250
No.355,ソボロベント,モノリス×ワーム,100,120,130,90,50,160,CCCDEB,432561,晩成,我慢,5,2,17,270
No.356,アスファール,モノリス×ナーガ,90,120,100,130,60,160,DCDCEB,534261,早熟,"我慢,逆上",-65,2,15,250
No.357,ホシゾラ,モノリス×？？？,,,,,,,,,,,,,,
No.358,ドミノス,モノリス×？？？,,,,,,,,,,,,,,
No.359,ラクガキモノ,モノリス×？？？,,,,,,,,,,,,,,
