no,name,family,life,power,intelligence,accuracy,avoidance,defence,apptitude,apptitude_order,grow_type,conditions,character,moving_speed,guts_speed,life_span
No.154,デトナクリス,ライガー×ピクシー,90,80,140,170,150,60,DDBABE,453126,早熟,"集中,必死",-10,4,8,300
No.155,トウテツ,ライガー×ゴーレム,80,100,140,110,130,120,DCBCCC,651423,晩成,"集中,必死,底力",50,3,13,320
No.156,デトナレックス,ライガー×ロードランナー,80,90,120,160,140,100,DDCABD,653124,普通,"集中,必死,底力",30,4,11,320
No.157,ライガー,ライガー×ライガー,80,90,130,160,140,70,DDBABE,543126,早熟,"集中,必死,底力",75,4,9,300
No.158,ハムライガー,ライガー×ハム,80,100,120,150,140,70,DCCBBE,543126,普通,"集中,必死,底力",55,4,11,300
No.159,バロン,ライガー×ガリ,80,90,130,150,140,70,DDBBCD,542136,普通,"集中,必死,底力",85,4,12,280
No.160,モノアイ,ライガー×スエゾー,90,80,130,170,100,60,DDBACE,452136,早熟,"集中,必死,逆上",-28,1,10,320
No.161,アクアストライク,ライガー×ゲル,70,90,150,160,120,80,DDBACD,642135,普通,"集中,必死,底力",35,4,11,320
No.162,エコノキックス,ライガー×プラント,100,90,120,150,110,50,CDBBCE,452136,早熟,"集中,必死,底力",65,3,9,360
No.163,テラードッグ,ライガー×モノリス,100,90,140,150,130,120,DDBBCC,562134,普通,"集中,必死",5,3,13,280
No.164,ヤクトハウンド,ライガー×ワーム,80,90,150,120,110,50,DDBBCE,541236,晩成,"集中,必死,底力",40,4,11,300
No.165,ケルベロス,ライガー×ナーガ,90,120,110,190,130,80,DCCACD,534126,早熟,"集中,必死,逆上",-45,4,10,280
No.166,シロ,ライガー×？？？,,,,,,,,,,,,,,
